story_id,sprint_number,story_points,final_story_points,story_type,initiative_id,status,cycle_time_days,num_blockers,blocker_duration_days,assignee_id,assignee_name,priority,dependencies_count,start_date,estimation_accuracy
STORY-0001,1,3,2,Bug,INIT-001,Completed,2,0,0,TM003,Carol Johnson,High,0,2025-05-15,0.3333333333333333
STORY-0002,1,8,5,Bug,INIT-001,Completed,5,0,0,TM004,David Kim,High,0,2025-05-14,0.375
STORY-0003,1,8,6,Spike,INIT-001,Completed,10,0,0,TM001,Alice Chen,High,0,2025-05-15,0.25
STORY-0004,1,3,2,Feature,INIT-001,Completed,10,0,0,TM002,Bob Martinez,High,1,2025-05-13,0.3333333333333333
STORY-0005,1,8,8,Bug,INIT-001,Completed,8,0,0,TM003,Carol Johnson,High,0,2025-05-16,0.0
STORY-0006,1,2,2,Technical Debt,INIT-001,Completed,5,0,0,TM006,Frank Wilson,High,0,2025-05-16,0.0
STORY-0007,1,1,1,Feature,INIT-001,Completed,6,1,3,TM004,David Kim,High,0,2025-05-13,0.0
STORY-0008,1,1,1,Bug,INIT-001,Incomplete,14,1,0,TM004,David Kim,High,0,2025-05-16,0.0
STORY-0009,1,2,2,Feature,INIT-001,Incomplete,13,1,1,TM002,Bob Martinez,High,0,2025-05-16,0.0
STORY-0010,1,3,3,Feature,INIT-001,Incomplete,11,0,0,TM007,Grace Lee,High,1,2025-05-13,0.0
STORY-0011,1,2,2,Feature,INIT-001,Incomplete,5,1,1,TM002,Bob Martinez,Medium,0,2025-05-13,0.0
STORY-0012,1,1,1,Bug,INIT-001,Incomplete,3,1,3,TM008,Henry Brown,Medium,0,2025-05-16,0.0
STORY-0013,1,1,1,Feature,INIT-001,Incomplete,13,1,2,TM007,Grace Lee,Medium,0,2025-05-16,0.0
STORY-0014,1,2,2,Feature,INIT-001,Descoped,12,0,2,TM001,Alice Chen,Medium,0,2025-05-16,0.0
STORY-0015,1,8,8,Technical Debt,INIT-001,Carried Over,13,0,1,TM002,Bob Martinez,Medium,0,2025-05-14,0.0
STORY-0016,1,5,5,Feature,INIT-001,Incomplete,10,0,3,TM006,Frank Wilson,Medium,2,2025-05-14,0.0
STORY-0017,1,3,3,Feature,INIT-001,Descoped,5,1,2,TM002,Bob Martinez,Medium,0,2025-05-13,0.0
STORY-0018,1,1,1,Feature,INIT-001,Incomplete,2,0,2,TM005,Emma Rodriguez,Medium,0,2025-05-15,0.0
STORY-0019,1,8,8,Spike,INIT-001,Descoped,5,0,1,TM005,Emma Rodriguez,Medium,0,2025-05-13,0.0
STORY-0020,1,8,8,Feature,INIT-001,Descoped,6,0,2,TM008,Henry Brown,Medium,0,2025-05-13,0.0
STORY-0021,1,1,1,Bug,INIT-001,Carried Over,10,0,5,TM005,Emma Rodriguez,Medium,0,2025-05-16,0.0
STORY-0022,1,8,8,Bug,INIT-001,Carried Over,7,2,0,TM006,Frank Wilson,Medium,0,2025-05-14,0.0
STORY-0023,1,5,5,Feature,INIT-001,Incomplete,6,0,1,TM002,Bob Martinez,Medium,0,2025-05-16,0.0
STORY-0024,1,8,8,Bug,INIT-001,Incomplete,7,0,1,TM006,Frank Wilson,Medium,1,2025-05-16,0.0
STORY-0025,1,2,2,Feature,INIT-001,Incomplete,14,1,1,TM004,David Kim,Low,1,2025-05-16,0.0
STORY-0026,1,3,3,Feature,INIT-001,Descoped,4,1,2,TM005,Emma Rodriguez,Low,1,2025-05-15,0.0
STORY-0027,1,3,3,Bug,INIT-001,Descoped,6,0,0,TM005,Emma Rodriguez,Low,0,2025-05-15,0.0
STORY-0028,1,1,1,Feature,INIT-001,Incomplete,7,0,3,TM004,David Kim,Low,0,2025-05-16,0.0
STORY-0029,1,1,1,Feature,INIT-001,Incomplete,11,1,2,TM002,Bob Martinez,Low,1,2025-05-15,0.0
STORY-0030,1,8,8,Feature,INIT-001,Descoped,5,0,1,TM007,Grace Lee,Low,0,2025-05-16,0.0
STORY-0031,1,2,2,Bug,INIT-001,Incomplete,5,1,1,TM007,Grace Lee,Low,1,2025-05-15,0.0
STORY-0032,1,5,5,Feature,INIT-001,Descoped,3,0,2,TM006,Frank Wilson,Low,0,2025-05-14,0.0
STORY-0033,1,3,3,Feature,INIT-001,Incomplete,4,1,0,TM008,Henry Brown,Low,0,2025-05-14,0.0
STORY-0034,2,2,2,Bug,INIT-001,Completed,2,0,0,TM004,David Kim,High,0,2025-05-30,0.0
STORY-0035,2,1,1,Feature,INIT-001,Completed,8,0,0,TM008,Henry Brown,High,0,2025-05-29,0.0
STORY-0036,2,5,5,Bug,INIT-001,Completed,9,0,0,TM003,Carol Johnson,High,1,2025-05-30,0.0
STORY-0037,2,5,4,Feature,INIT-001,Completed,5,0,0,TM008,Henry Brown,High,0,2025-05-29,0.2
STORY-0038,2,5,4,Feature,INIT-001,Completed,4,0,0,TM006,Frank Wilson,High,1,2025-05-27,0.2
STORY-0039,2,2,1,Feature,INIT-001,Completed,3,0,0,TM002,Bob Martinez,High,0,2025-05-29,0.5
STORY-0040,2,8,11,Feature,INIT-001,Completed,4,0,0,TM007,Grace Lee,High,2,2025-05-27,0.375
STORY-0041,2,8,7,Feature,INIT-001,Completed,6,0,0,TM007,Grace Lee,High,1,2025-05-30,0.125
STORY-0042,2,8,8,Bug,INIT-001,Completed,8,0,0,TM007,Grace Lee,High,0,2025-05-30,0.0
STORY-0043,2,3,3,Bug,INIT-001,Incomplete,3,0,3,TM001,Alice Chen,Medium,0,2025-05-30,0.0
STORY-0044,2,2,2,Technical Debt,INIT-001,Carried Over,11,1,1,TM008,Henry Brown,Medium,0,2025-05-30,0.0
STORY-0045,2,3,3,Bug,INIT-001,Incomplete,8,0,0,TM006,Frank Wilson,Medium,0,2025-05-27,0.0
STORY-0046,2,1,1,Bug,INIT-001,Completed,4,0,0,TM003,Carol Johnson,Medium,0,2025-05-30,0.0
STORY-0047,2,1,1,Feature,INIT-001,Incomplete,13,1,1,TM002,Bob Martinez,Medium,1,2025-05-28,0.0
STORY-0048,2,3,3,Feature,INIT-001,Descoped,11,1,3,TM004,David Kim,Medium,0,2025-05-28,0.0
STORY-0049,2,1,1,Bug,INIT-001,Descoped,13,0,0,TM006,Frank Wilson,Medium,0,2025-05-29,0.0
STORY-0050,2,1,1,Feature,INIT-001,Carried Over,11,1,0,TM007,Grace Lee,Medium,2,2025-05-30,0.0
STORY-0051,2,2,2,Feature,INIT-001,Descoped,13,1,3,TM007,Grace Lee,Medium,1,2025-05-29,0.0
STORY-0052,2,3,3,Technical Debt,INIT-001,Incomplete,4,1,3,TM006,Frank Wilson,Medium,0,2025-05-29,0.0
STORY-0053,2,2,2,Feature,INIT-001,Incomplete,5,1,0,TM004,David Kim,Medium,0,2025-05-30,0.0
STORY-0054,2,5,5,Feature,INIT-001,Descoped,12,1,3,TM001,Alice Chen,Low,0,2025-05-28,0.0
STORY-0055,2,5,5,Bug,INIT-001,Incomplete,8,1,3,TM006,Frank Wilson,Low,0,2025-05-30,0.0
STORY-0056,2,3,3,Feature,INIT-001,Incomplete,6,0,1,TM004,David Kim,Low,0,2025-05-30,0.0
STORY-0057,2,3,3,Bug,INIT-001,Incomplete,5,0,2,TM003,Carol Johnson,Low,0,2025-05-28,0.0
STORY-0058,2,3,3,Feature,INIT-001,Descoped,3,1,0,TM001,Alice Chen,Low,0,2025-05-30,0.0
STORY-0059,2,5,5,Feature,INIT-001,Incomplete,14,1,0,TM002,Bob Martinez,Low,0,2025-05-27,0.0
STORY-0060,2,8,8,Bug,INIT-001,Descoped,5,0,1,TM002,Bob Martinez,Low,0,2025-05-30,0.0
STORY-0061,2,8,8,Feature,INIT-001,Incomplete,8,1,2,TM007,Grace Lee,Low,0,2025-05-27,0.0
STORY-0062,3,2,1,Bug,INIT-019,Completed,2,0,0,TM003,Carol Johnson,High,0,2025-06-11,0.5
STORY-0063,3,1,1,Feature,INIT-019,Completed,5,1,2,TM005,Emma Rodriguez,High,1,2025-06-13,0.0
STORY-0064,3,1,1,Bug,INIT-019,Completed,10,0,0,TM004,David Kim,High,0,2025-06-11,0.0
STORY-0065,3,2,2,Technical Debt,INIT-001,Completed,2,1,2,TM005,Emma Rodriguez,High,0,2025-06-13,0.0
STORY-0066,3,3,2,Bug,INIT-019,Completed,9,0,0,TM008,Henry Brown,High,0,2025-06-10,0.3333333333333333
STORY-0067,3,5,4,Bug,INIT-019,Completed,1,1,3,TM001,Alice Chen,High,3,2025-06-12,0.2
STORY-0068,3,8,6,Feature,INIT-001,Completed,8,0,0,TM008,Henry Brown,High,2,2025-06-11,0.25
STORY-0069,3,8,6,Feature,INIT-019,Completed,2,0,0,TM007,Grace Lee,High,0,2025-06-10,0.25
STORY-0070,3,2,2,Feature,INIT-019,Completed,5,0,0,TM007,Grace Lee,Medium,1,2025-06-10,0.0
STORY-0071,3,5,7,Feature,INIT-019,Completed,6,0,0,TM007,Grace Lee,Medium,1,2025-06-10,0.4
STORY-0072,3,8,8,Feature,INIT-001,Incomplete,10,1,3,TM001,Alice Chen,Medium,0,2025-06-11,0.0
STORY-0073,3,3,2,Feature,INIT-019,Completed,2,1,3,TM004,David Kim,Medium,1,2025-06-12,0.3333333333333333
STORY-0074,3,8,8,Feature,INIT-019,Carried Over,6,1,0,TM003,Carol Johnson,Medium,0,2025-06-12,0.0
STORY-0075,3,8,8,Bug,INIT-019,Incomplete,4,1,1,TM007,Grace Lee,Medium,0,2025-06-11,0.0
STORY-0076,3,1,1,Feature,INIT-019,Completed,6,0,0,TM005,Emma Rodriguez,Medium,1,2025-06-12,0.0
STORY-0077,3,3,3,Bug,INIT-019,Incomplete,9,1,2,TM006,Frank Wilson,Medium,0,2025-06-13,0.0
STORY-0078,3,5,5,Technical Debt,INIT-001,Incomplete,10,1,1,TM007,Grace Lee,Medium,0,2025-06-13,0.0
STORY-0079,3,5,5,Feature,INIT-001,Incomplete,3,1,0,TM008,Henry Brown,Medium,0,2025-06-13,0.0
STORY-0080,3,1,1,Bug,INIT-019,Incomplete,2,1,2,TM006,Frank Wilson,Medium,0,2025-06-13,0.0
STORY-0081,3,1,1,Technical Debt,INIT-019,Descoped,12,1,0,TM002,Bob Martinez,Low,0,2025-06-12,0.0
STORY-0082,3,2,2,Bug,INIT-019,Descoped,12,0,3,TM003,Carol Johnson,Low,0,2025-06-10,0.0
STORY-0083,3,1,1,Feature,INIT-001,Incomplete,7,0,1,TM007,Grace Lee,Low,0,2025-06-11,0.0
STORY-0084,3,2,2,Feature,INIT-019,Incomplete,8,0,1,TM008,Henry Brown,Low,0,2025-06-13,0.0
STORY-0085,3,3,3,Bug,INIT-019,Descoped,9,0,0,TM008,Henry Brown,Low,2,2025-06-12,0.0
STORY-0086,3,5,5,Bug,INIT-019,Incomplete,7,1,0,TM004,David Kim,Low,0,2025-06-12,0.0
STORY-0087,3,8,8,Feature,INIT-019,Carried Over,11,1,0,TM001,Alice Chen,Low,2,2025-06-13,0.0
STORY-0088,4,8,7,Bug,INIT-004,Completed,4,0,0,TM003,Carol Johnson,High,0,2025-06-24,0.125
STORY-0089,4,3,2,Bug,INIT-001,Completed,10,0,0,TM003,Carol Johnson,High,0,2025-06-26,0.3333333333333333
STORY-0090,4,3,4,Bug,INIT-003,Completed,4,0,0,TM006,Frank Wilson,High,0,2025-06-26,0.3333333333333333
STORY-0091,4,2,2,Feature,INIT-019,Completed,5,0,0,TM006,Frank Wilson,High,1,2025-06-27,0.0
STORY-0092,4,1,1,Feature,INIT-004,Completed,7,0,0,TM006,Frank Wilson,High,0,2025-06-27,0.0
STORY-0093,4,1,1,Feature,INIT-002,Completed,8,0,0,TM005,Emma Rodriguez,High,0,2025-06-26,0.0
STORY-0094,4,1,1,Bug,INIT-019,Completed,1,0,0,TM006,Frank Wilson,High,2,2025-06-25,0.0
STORY-0095,4,1,1,Feature,INIT-019,Completed,5,0,0,TM002,Bob Martinez,High,0,2025-06-24,0.0
STORY-0096,4,3,3,Spike,INIT-002,Completed,2,0,0,TM003,Carol Johnson,High,0,2025-06-26,0.0
STORY-0097,4,8,8,Feature,INIT-003,Descoped,2,1,3,TM005,Emma Rodriguez,Medium,0,2025-06-26,0.0
STORY-0098,4,2,2,Feature,INIT-004,Completed,6,1,3,TM006,Frank Wilson,Medium,0,2025-06-26,0.0
STORY-0099,4,1,1,Feature,INIT-004,Completed,2,0,0,TM008,Henry Brown,Medium,0,2025-06-25,0.0
STORY-0100,4,8,8,Spike,INIT-001,Incomplete,3,0,0,TM004,David Kim,Medium,0,2025-06-25,0.0
STORY-0101,4,3,3,Bug,INIT-001,Completed,5,0,0,TM003,Carol Johnson,Medium,3,2025-06-26,0.0
STORY-0102,4,2,2,Feature,INIT-001,Incomplete,13,0,2,TM001,Alice Chen,Medium,0,2025-06-24,0.0
STORY-0103,4,2,2,Bug,INIT-022,Carried Over,6,1,3,TM006,Frank Wilson,Medium,0,2025-06-24,0.0
STORY-0104,4,5,5,Feature,INIT-001,Descoped,9,1,3,TM001,Alice Chen,Medium,0,2025-06-27,0.0
STORY-0105,4,5,5,Feature,INIT-002,Incomplete,2,0,2,TM003,Carol Johnson,Medium,0,2025-06-26,0.0
STORY-0106,4,8,8,Feature,INIT-022,Incomplete,10,1,3,TM007,Grace Lee,Medium,0,2025-06-24,0.0
STORY-0107,4,8,8,Bug,INIT-004,Incomplete,7,1,3,TM007,Grace Lee,Medium,0,2025-06-24,0.0
STORY-0108,4,3,3,Feature,INIT-005,Incomplete,11,1,0,TM002,Bob Martinez,Low,1,2025-06-24,0.0
STORY-0109,4,5,5,Feature,INIT-006,Descoped,1,1,0,TM007,Grace Lee,Low,0,2025-06-27,0.0
STORY-0110,4,1,1,Spike,INIT-005,Completed,6,0,0,TM004,David Kim,Low,0,2025-06-27,0.0
STORY-0111,4,2,2,Bug,INIT-006,Incomplete,2,1,1,TM007,Grace Lee,Low,1,2025-06-24,0.0
